id,name,title,company,location,stars,status,words,createdAt
6a1872139ede4e06513ce4c2,Mohamed Ismail,CEO,Sky-Restaurants,Egypt,5,approved,"I have been working with cosmic for more than 20 years,
And throughout this partnership they have consistently demonstrated professionalism , creativity and reliability.
No matter how challenging the project is , they always deliver high-quality work on time and always willing to go to the extra mile to ensure client’s satisfaction.",2026-05-28T16:49:23.478Z
6a0d778ff7ac08c6626f0873,Youssef Morshedy,Marketing Manager,,Egypt,4,approved,"Cosmic has consistently demonstrated a strong understanding of branding and design. I have been working with them on many projects and brands throughout the years. Their responsiveness and willingness to assist outside regular working hours demonstrate a high level of commitment to client satisfaction. Whether handling last-minute revisions, urgent campaigns, or unexpected requests, the team consistently provides fast and effective support without compromising the quality of their work. Overall, they continue to deliver excellent creative work while maintaining outstanding support and communication all the time.",2026-05-20T08:57:51.555Z
6a0c169a1175982161c38d92,Hazem,Sales director,Cosmic Solutions,Egypt,5,approved,The best in town !,2026-05-19T07:51:54.023Z
6a0c0c302d28d6bbd8fe4f0e,Tamer makram riad,Chief Marketing Officer,Americana Group,Egypt,5,approved,"I've been dealing with Cosmic agency since 2003,, they were so easy to work with I'd definitely recommend this agency, specifically Eng. Khaled soudi he is responsive & productive.",2026-05-19T07:07:28.915Z
6a0b969d5c6bcbca6a580186,Ayman Fergany,CEO,Rajany Designs,Egypt,5,approved,"“I have worked with Cosmic Advertising Agency for more than 25 years, and they have consistently delivered professionalism, creativity, and high-quality work. Their reliability and commitment have made them a trusted long-term partner, and I highly value our successful collaboration.”",2026-05-18T22:45:49.486Z
6a0b5f717e985bc58d0b53ad,yara Fahmy,Marketing Manager Pizza Hut Egypt,Americana,Egypt,5,approved,"“Professional team, creative ideas, and excellent results. Great communication and fast delivery. Highly recommended!”",2026-05-18T18:50:25.238Z
6a0b5cf452dc20a2867135bd,Hatem Sultan,Graphic designer,Free lancer,Egypt,5,approved,They deliver there promises,2026-05-18T18:39:48.177Z
6a0b499fedfef94e62b0697b,Shady,Projects Manager,3Pillars,Saudi Arabia,5,approved,Luxury and grandeur,2026-05-18T17:17:19.127Z
6a0b441bca7413b3efdad953,Mariam El Rayes,Marketing Manager,Sky Restaurants,Egypt,5,approved,One of the best agencies to work with. Always delivers above and beyond and extremely supportive!,2026-05-18T16:53:47.260Z
6a0b4388ca7413b3efdad952,Aly ElGayar,Regional marketing director,Americana,Egypt,5,approved,"I had a great experience working with Cosmic Printing House. The quality of printing, attention to detail, and professionalism were outstanding from start to finish.

What truly made the difference was the excellent customer service and the very reasonable pricing they offered without compromising quality. A special thanks to Khaled Seoudi, such a professional and supportive owner who genuinely cares about his clients and always ensures everything is delivered perfectly and on time.

Highly recommended for anyone looking for reliable printing services with great quality, fair prices, and exceptional service.",2026-05-18T16:51:20.965Z
6a0b4063ca7413b3efdad951,Ahmed Atef Faggal,CEO & Founder,Eco-Arch. Consultant,Egypt,5,approved,"Cosmic is a company that is committed to its deadlines, progressive in its ideas, and fully attentive to all media standards. It possesses advanced modern capabilities and consistently demonstrates strong time commitment in delivering all work with the highest level of efficiency, accuracy, and professionalism.",2026-05-18T16:37:55.624Z
6a0b3f40ca7413b3efdad950,Ahmed Ahmed Rashad,Former Regional Director of Marketing - Americana,Americana,Egypt,5,approved,"Very dedicated and time efficient, creative dimension applied, deliver under stress, i recommend working with them",2026-05-18T16:33:04.346Z
6a0b3cc3ca7413b3efdad94f,Lamia elshournagy,Marketing manager,Americana,Egypt,5,approved,"Excellent , responsible, creative, punctuate, proactive and proffessional",2026-05-18T16:22:27.932Z
6a0b3ca3ca7413b3efdad94e,Ismail mostafa Khattab,Brand Marketing Manager,McDonald's,Egypt,5,approved,"Since 2008, Cosmic has been a valued partner to McDonald’s, consistently providing reliable support, quality service, and strong commitment throughout the years. We truly appreciate this successful partnership and look forward to continuing our journey together.",2026-05-18T16:21:55.244Z
6a0b3706272630a653e1529e,Ahmed Zaghloul,CEO,Concept Design Build,United States,5,approved,"Really happy with my purchase! I ordered polo shirts and t-shirts for my company and couldn't be more pleased. The quality is excellent — well-made, great material, and they look very professional. On top of that, the prices are very reasonable. Exactly what a business owner needs when outfitting a team. Will definitely be ordering again!",2026-05-18T15:57:58.449Z
6a0ab95cbaffdcad71f951e0,Ayman Ahmed,Workforce Section Head,,"Cairo, Egypt",5,approved,"Working with COSMIC on RCX's full workspace rebranding was an outstanding experience from start to finish. Their team took the time to truly understand our brand vision and translated it into a cohesive, creative identity that exceeded our expectations. Communication was consistently professional and transparent throughout every phase, which made collaboration effortless. They delivered every milestone on time without ever compromising on the quality of the design, and the final output was polished, modern, and exactly aligned with where we wanted the brand to go. I'd highly recommend COSMIC to any company looking for a partner that combines creative excellence with reliable execution.",2026-05-18T07:01:48.267Z
